title,discount,price,extra_info_1,extra_info_2,extra_info_3,course_subject,likes
패스트캠퍼스강북학원 정보처리·데이터분석 Master STEP,내일배움카드,가격 정보 없음,,,,컴퓨터 공학/SW 엔지니어링,10+
LOCKER Lab : 네트워크·정보보안 Master STEP,내일배움카드,가격 정보 없음,,,,컴퓨터 공학/SW 엔지니어링,10+
MSA 워크샵: 12가지 핵심 기술로 구현하는 MSA 실무 프로젝트,62%,"170,500원",,약 12시간,직무경험 필요,백엔드 개발,80+
파이썬으로 할 수 있는 모든 것 with 47개 프로젝트 초격차 패키지 Online.,70%,"146,000원",,약 103시간,누구나,백엔드 개발,90+
노마드 준과 시작하는 가장 빠른 웹앱 개발(w. Next.js 14 X Supabase),최저가,"150,500원~",,약 13시간,사전지식 필요,프론트엔드 개발,60+
[오프라인 VOD 세미나] 패스트캠퍼스 X 김한성 세미나 : 대용량 트래픽 처리의 모든 것,할인 없음,"99,999원",,약 1시간,사전지식 필요,백엔드 개발,80+
'따배런'이성미의 실전 DevOps 환경의 Kubernetes 완벽 마스터,45%,"252,000원",,약 16시간,사전지식 필요,프로그래밍,170+
실전 DevOps의 모든 것 : 리눅스부터 GitOps까지,59%,"182,000원",,약 38시간,사전지식 필요,DevOps/Infra,180+
1티어 패션 커머스의 세일 도메인 프로젝트로 배우는 대규모 트래픽을 견디는 실전 백엔드의 모든 것,58%,"192,000원",,약 31시간,사전지식 필요,프로그래밍,320+
실리콘밸리 엔지니어 강성욱과 시작하는 MySQL : 기초 쿼리 작성부터 성능 최적화까지,43%,"141,500원",,약 30시간,누구나,백엔드 개발,270+
테드박의 안드로이드 앱 개발 : 확장성과 유지보수에 용이한 클린 아키텍처,65%,"182,000원",,약 13시간,사전지식 필요,프로그래밍,310+
Terraform Masterclass : 대규모 인프라를 위한 GitOps 기반 실전 Terraform 활용법,63%,"163,500원",,약 20시간,사전지식 필요,DevOps/Infra,170+
CLASS : 배달 프로젝트로 배우는 NestJS 심화 (MSA),37%,"175,000원",,약 25시간,사전지식 필요,백엔드 개발,40+
CLASS : 넷*릭스 프로젝트로 배우는 NestJS 기초,35%,"155,000원",,약 42시간,누구나,백엔드 개발,40+
국내 1티어급 이커머스 플랫폼으로 배우는 대용량 데이터 처리 끝판왕,58%,"185,000원",,약 30시간,사전지식 필요,백엔드 개발,330+
백엔드 도사 박매일의 뇌에 새겨지는 Spring Boot,58%,"145,500원",,약 38시간,사전지식 필요,백엔드 개발,100+
Kernel360 : 프론트엔드,내일배움카드,가격 정보 없음,,,,프론트엔드 개발,10+
10개 프로젝트로 완성하는 백엔드 웹개발(Java/Spring) 초격차 패키지 Online.,59%,"250,500원",,약 118시간,사전지식 필요,백엔드 개발,330+
Kernel360 : 10주 완성 단기 개발 실무 프로젝트십,내일배움카드,가격 정보 없음,,,,프로그래밍,10+
Netplix 구독형 멤버십 프로젝트로 배우는 Spring Security,63%,"163,500원",,약 23시간,사전지식 필요,백엔드 개발,450+
백엔드 개발자를 위한 Kafka 실습 0 to 1 : 입문부터 EDA까지,68%,"142,500원",,약 16시간,사전지식 필요,백엔드 개발,140+
코드팩토리의 백엔드 아카데미 : 한 번에 끝내는 NestJS 패키지 - 기초부터 MSA까지,64%,"185,000원",,약 68시간,사전지식 필요,백엔드 개발,"1,270+"
김민태의 세상에서 가장 친절한 프론트엔드 수업,63%,"55,000원",,약 9시간,누구나,프론트엔드 개발,"1,550+"
한 번에 끝내는 컴퓨터 공학 & 인공지능 복수전공 패키지,60%,"276,000원",,약 177시간,누구나,컴퓨터 공학/SW 엔지니어링,720+
9개 도메인 프로젝트로 끝내는 백엔드 웹 개발 (Java/Spring),58%,"186,500원",,약 106시간,직무경험 필요,백엔드 개발,"1,270+"
INNER CIRCLE : PM/UXUI Course,내일배움카드,가격 정보 없음,,,,PM / PO / 기획,20+
