title,discount,price,extra_info_1,extra_info_2,extra_info_3,course_subject,likes
[5주 완성] LangGraph를 활용한 실전 AI 애플리케이션 개발 마스터 캠프,23%,"765,000원",5주 과정,약 15시간,사전지식 필요,딥러닝,10+
[오프라인] 국내 1호 프롬프트 엔지니어 강수진 박사의 엔지니어를 위한 실무 프롬프트 엔지니어링,할인 없음,가격 정보 없음,,,,자연어처리,10+
RAG 평가와 개선의 모든 것 : 데이터셋 제작부터 agent 평가까지,최저가,"249,000원~",,,,딥러닝,20+
프로에게 배우는 상업적인 AI 이미지·영상 제작 마스터,최저가,"300,000원~",,약 25시간,누구나,딥러닝,100+
건축/인테리어 디자이너를 위한 하나뿐인 Stable Diffusion (ComfyUI) 패키지,45%,"260,500원",,약 15시간,누구나,딥러닝,220+
AI Intensive Workshop 2024 for Creative,할인 없음,가격 정보 없음,,,,딥러닝,10+
실리콘밸리 AI 개발자의 멀티모달 벡터 임베딩 마스터클래스 : 모델 파인튜닝부터 인프라 최적화까지,최저가,"269,000원~",,약 22시간,사전지식 필요,딥러닝,50+
INNER CIRCLE : AI 마스터 Course,내일배움카드,가격 정보 없음,,,,인공지능,10+
일관성을 유지하는 AI 영상 제작 with Midjourney & Runway,32%,"242,000원",,약 10시간,누구나,딥러닝,450+
vLLM을 활용한 고성능 저비용 LLM 서빙의 모든 것,66%,"272,000원",,약 10시간,사전지식 필요,딥러닝,180+
"프로에게 배우는 하이퍼리얼리티 인물 · 영상 제작: Midjourney, ComfyUI, Gen3",최저가,"354,500원~",,약 20시간,사전지식 필요,딥러닝,660+
ComfyUI와 Runway를 활용한 광고/방송/게임/영화 인물 영상 제작,46%,"182,000원",,약 16시간,누구나,딥러닝,170+
LLM 모델 파인튜닝을 위한 Quantization,최저가,"262,000원~",,약 25시간,사전지식 필요,딥러닝,110+
"Flux, ComfyUI, Gen3로 만드는 일관성 100% 감쪽같은 AI 영상",56%,"260,500원",,약 19시간,누구나,딥러닝,210+
AI로 만드는 현실같은 가상 배우와 몰입도를 높이는 시네마틱 단편 영상,64%,"262,000원",,약 20시간,누구나,딥러닝,180+
연애 시뮬레이터로 배우는 LLM 기반 가상 캐릭터 만들기,50%,"213,500원",,약 16시간,사전지식 필요,딥러닝,230+
모두의 AI 케인의 LangGraph로 끝내는 멀티 AI Agent ft. 5가지 Advanced AI agent 구축 프로젝트,64%,"285,000원",,약 16시간,사전지식 필요,딥러닝,"1,260+"
플러스엑스 AI를 활용한 BX 프로세스,40%,"337,000원",,약 8시간,누구나,딥러닝,740+
